Validation_Set,Topics,Alpha,Beta,Coherence
30% Corpus,4,symmetric,0.9099999999999999,0.510336780595616
30% Corpus,4,symmetric,symmetric,0.47391803479204486
30% Corpus,4,asymmetric,0.01,0.4918828437555617
30% Corpus,4,asymmetric,0.31,0.5687130570679163
30% Corpus,4,asymmetric,0.61,0.4727869345020323
30% Corpus,4,asymmetric,0.9099999999999999,0.5387382970929334
30% Corpus,4,asymmetric,symmetric,0.547279785884987
30% Corpus,5,0.01,0.01,0.4712489048950997
30% Corpus,5,0.01,0.31,0.47375568092933024
30% Corpus,5,0.01,0.61,0.5375525137344893
30% Corpus,5,0.01,0.9099999999999999,0.6537809568470544
30% Corpus,5,0.01,symmetric,0.4692899429635828
30% Corpus,5,0.31,0.01,0.4836878379784294
30% Corpus,5,0.31,0.31,0.5152515906748664
30% Corpus,5,0.31,0.61,0.553851281394801
30% Corpus,5,0.31,0.9099999999999999,0.5201854172432441
30% Corpus,5,0.31,symmetric,0.4763549613926047
30% Corpus,5,0.61,0.01,0.4860674857689637
30% Corpus,5,0.61,0.31,0.49437477807000463
30% Corpus,5,0.61,0.61,0.5350087971434111
30% Corpus,5,0.61,0.9099999999999999,0.52684064919966
30% Corpus,5,0.61,symmetric,0.4822538376960557
30% Corpus,5,0.9099999999999999,0.01,0.4960291962431005
30% Corpus,5,0.9099999999999999,0.31,0.48561373994797963
30% Corpus,5,0.9099999999999999,0.61,0.5037153539692387
30% Corpus,5,0.9099999999999999,0.9099999999999999,0.5089741933003429
30% Corpus,5,0.9099999999999999,symmetric,0.4899261535859992
30% Corpus,5,symmetric,0.01,0.47967941543352877
30% Corpus,5,symmetric,0.31,0.5000098822910947
30% Corpus,5,symmetric,0.61,0.568494832700974
30% Corpus,5,symmetric,0.9099999999999999,0.4539186804172621
30% Corpus,5,symmetric,symmetric,0.47827202779529304
30% Corpus,5,asymmetric,0.01,0.47895734418617864
30% Corpus,5,asymmetric,0.31,0.4850557103566368
30% Corpus,5,asymmetric,0.61,0.45729204140485596
30% Corpus,5,asymmetric,0.9099999999999999,0.46965950532202755
30% Corpus,5,asymmetric,symmetric,0.5362485267596301
30% Corpus,6,0.01,0.01,0.5063465778507319
30% Corpus,6,0.01,0.31,0.4956763652262551
30% Corpus,6,0.01,0.61,0.5489863837280803
30% Corpus,6,0.01,0.9099999999999999,0.4318638672594954
30% Corpus,6,0.01,symmetric,0.5229894905490583
30% Corpus,6,0.31,0.01,0.5080800196449893
30% Corpus,6,0.31,0.31,0.5529097280439759
30% Corpus,6,0.31,0.61,0.5163460315046078
30% Corpus,6,0.31,0.9099999999999999,0.4840860281193369
30% Corpus,6,0.31,symmetric,0.5293974148890772
30% Corpus,6,0.61,0.01,0.5127103391342595
30% Corpus,6,0.61,0.31,0.5195057060238473
30% Corpus,6,0.61,0.61,0.57585425176795
30% Corpus,6,0.61,0.9099999999999999,0.6238873541830131
30% Corpus,6,0.61,symmetric,0.510928557203215
30% Corpus,6,0.9099999999999999,0.01,0.5128237297678429
30% Corpus,6,0.9099999999999999,0.31,0.506846640332776
30% Corpus,6,0.9099999999999999,0.61,0.5258058409718422
30% Corpus,6,0.9099999999999999,0.9099999999999999,0.6280751860677349
30% Corpus,6,0.9099999999999999,symmetric,0.5049134140899318
30% Corpus,6,symmetric,0.01,0.5130293153705575
