Validation_Set,Topics,Alpha,Beta,Coherence,
30% Corpus,7,0.31,0.01,0.502009781,
30% Corpus,7,0.31,0.31,0.5453683261294383,
30% Corpus,7,0.31,0.61,0.5066267937608082,
30% Corpus,7,0.31,0.9099999999999999,0.4102669487446206,
30% Corpus,7,0.31,symmetric,0.49875582642540983,
30% Corpus,7,0.61,0.01,0.49645955679477555,
30% Corpus,7,0.61,0.31,0.507990546,
30% Corpus,7,0.61,0.61,0.5361498394500364,
30% Corpus,7,0.61,0.9099999999999999,0.5075719088557609,
30% Corpus,7,0.61,symmetric,0.4963063079571604,
30% Corpus,7,0.9099999999999999,0.01,0.49038583359652205,
30% Corpus,7,0.9099999999999999,0.31,0.4840503499742262,
30% Corpus,7,0.9099999999999999,0.61,0.5008588043683494,
30% Corpus,7,0.9099999999999999,0.9099999999999999,0.47319090567196004,
30% Corpus,7,0.9099999999999999,symmetric,0.48561056448028933,
30% Corpus,7,symmetric,0.01,0.5021649793722677,
30% Corpus,7,symmetric,0.31,0.5481905666089139,
30% Corpus,7,symmetric,0.61,0.45351450724803033,
30% Corpus,7,symmetric,0.9099999999999999,0.5696330687012384,
30% Corpus,7,symmetric,symmetric,0.5096894126671873,
30% Corpus,7,asymmetric,0.01,0.5014261411864857,
30% Corpus,7,asymmetric,0.31,0.48617672123293787,
30% Corpus,7,asymmetric,0.61,0.4642427841442015,
30% Corpus,7,asymmetric,0.9099999999999999,0.43690747951095715,
30% Corpus,7,asymmetric,symmetric,0.5050942736158353,
30% Corpus,8,0.01,0.01,0.509814809,
30% Corpus,8,0.01,0.31,0.5061310652404645,
30% Corpus,8,0.01,0.61,0.5264145350927534,
30% Corpus,8,0.01,0.9099999999999999,0.46233658192472166,
30% Corpus,8,0.01,symmetric,0.5143105016904539,
30% Corpus,8,0.31,0.01,0.5121949736238096,
30% Corpus,8,0.31,0.31,0.5361155657115353,
30% Corpus,8,0.31,0.61,0.47270878728928545,
30% Corpus,8,0.31,0.9099999999999999,0.38837744836773724,
30% Corpus,8,0.31,symmetric,0.5120724846418301,
30% Corpus,8,0.61,0.01,0.5099803959677596,
30% Corpus,8,0.61,0.31,0.5152124769666697,
30% Corpus,8,0.61,0.61,0.5374928071231351,
30% Corpus,8,0.61,0.9099999999999999,0.4359040474645108,
30% Corpus,8,0.61,symmetric,0.5168224756746947,
30% Corpus,8,0.9099999999999999,0.01,0.48982496135331527,
30% Corpus,8,0.9099999999999999,0.31,0.4874713651871846,
30% Corpus,8,0.9099999999999999,0.61,0.4874234500658775,0.509814809
30% Corpus,8,0.9099999999999999,0.9099999999999999,0.4258995198911931,
30% Corpus,8,0.9099999999999999,symmetric,0.494398824,
30% Corpus,8,symmetric,0.01,0.5102897838617746,
30% Corpus,8,symmetric,0.31,0.5383984593100499,
30% Corpus,8,symmetric,0.61,0.4604988428313671,
30% Corpus,8,symmetric,0.9099999999999999,0.44540582915974336,
30% Corpus,8,symmetric,symmetric,0.5145884481729317,
30% Corpus,8,asymmetric,0.01,0.5066238714483751,
30% Corpus,8,asymmetric,0.31,0.5176060101365242,
30% Corpus,8,asymmetric,0.61,0.5127155751624264,
30% Corpus,8,asymmetric,0.9099999999999999,0.3996971054716335,
30% Corpus,8,asymmetric,symmetric,0.5090406729387547,
30% Corpus,9,0.01,0.01,0.5111620676549324,
30% Corpus,9,0.01,0.31,0.5439799743052488,
30% Corpus,9,0.01,0.61,0.45156893714073715,
30% Corpus,9,0.01,0.9099999999999999,0.351273656,
30% Corpus,9,0.01,symmetric,0.5104642565799984,
30% Corpus,9,0.31,0.01,0.51765797,
30% Corpus,9,0.31,0.31,0.5221836722085141,
30% Corpus,9,0.31,0.61,0.5155247271671809,
30% Corpus,9,0.31,0.9099999999999999,0.4451061363654294,
30% Corpus,9,0.31,symmetric,0.5194266654923629,
