Validation_Set,Topics,Alpha,Beta,Coherence
30% Corpus,3,0.9099999999999999,0.61,0.4736430093425466
30% Corpus,3,0.9099999999999999,0.9099999999999999,0.4496539918437395
30% Corpus,3,0.9099999999999999,symmetric,0.46334604313695166
30% Corpus,3,symmetric,0.01,0.4400496744054932
30% Corpus,3,symmetric,0.31,0.4808419068292738
30% Corpus,3,symmetric,0.61,0.5361035353871174
30% Corpus,3,symmetric,0.9099999999999999,0.4432361103771754
30% Corpus,3,symmetric,symmetric,0.4770851028475979
30% Corpus,3,asymmetric,0.01,0.46590267714113537
30% Corpus,3,asymmetric,0.31,0.4788518329104355
30% Corpus,3,asymmetric,0.61,0.4985251942328539
30% Corpus,3,asymmetric,0.9099999999999999,0.42099330155316883
30% Corpus,3,asymmetric,symmetric,0.46766260683222427
30% Corpus,4,0.01,0.01,0.4754362700894594
30% Corpus,4,0.01,0.31,0.42710615954776604
30% Corpus,4,0.01,0.61,0.4925824814477562
30% Corpus,4,0.01,0.9099999999999999,0.41111391002294956
30% Corpus,4,0.01,symmetric,0.4839028205738869
30% Corpus,4,0.31,0.01,0.4745741404060723
30% Corpus,4,0.31,0.31,0.4707920885261175
30% Corpus,4,0.31,0.61,0.4497054934262659
30% Corpus,4,0.31,0.9099999999999999,0.4981601235014628
30% Corpus,4,0.31,symmetric,0.4700926274060502
30% Corpus,4,0.61,0.01,0.48561971961774736
30% Corpus,4,0.61,0.31,0.48719515947433156
30% Corpus,4,0.61,0.61,0.5396052508918254
30% Corpus,4,0.61,0.9099999999999999,0.4577222883926314
30% Corpus,4,0.61,symmetric,0.4822169903322119
30% Corpus,4,0.9099999999999999,0.01,0.47779636574072265
30% Corpus,4,0.9099999999999999,0.31,0.4873996542136011
30% Corpus,4,0.9099999999999999,0.61,0.4796534343861349
30% Corpus,4,0.9099999999999999,0.9099999999999999,0.5498810334905582
30% Corpus,4,0.9099999999999999,symmetric,0.49214615521677657
30% Corpus,4,symmetric,0.01,0.4695206701289034
30% Corpus,4,symmetric,0.31,0.4484294479696006
30% Corpus,4,symmetric,0.61,0.48641720207406103
30% Corpus,4,symmetric,0.9099999999999999,0.509370478174212
30% Corpus,4,symmetric,symmetric,0.4562049056811492
30% Corpus,4,asymmetric,0.01,0.4807547869234571
30% Corpus,4,asymmetric,0.31,0.5687130570679163
30% Corpus,4,asymmetric,0.61,0.4715077634115808
30% Corpus,4,asymmetric,0.9099999999999999,0.5604776701528394
30% Corpus,4,asymmetric,symmetric,0.5523005794579152
30% Corpus,5,0.01,0.01,0.46977183778531006
30% Corpus,5,0.01,0.31,0.45626364352949506
30% Corpus,5,0.01,0.61,0.518761724004949
30% Corpus,5,0.01,0.9099999999999999,0.6564504542552955
30% Corpus,5,0.01,symmetric,0.4721447015119679
30% Corpus,5,0.31,0.01,0.4836878379784294
30% Corpus,5,0.31,0.31,0.5152515906748664
30% Corpus,5,0.31,0.61,0.5607256294560259
30% Corpus,5,0.31,0.9099999999999999,0.519538403933912
30% Corpus,5,0.31,symmetric,0.479059962333728
30% Corpus,5,0.61,0.01,0.48572959365683843
30% Corpus,5,0.61,0.31,0.49437477807000463
30% Corpus,5,0.61,0.61,0.5358258147063782
30% Corpus,5,0.61,0.9099999999999999,0.52684064919966
30% Corpus,5,0.61,symmetric,0.48487791627790583
30% Corpus,5,0.9099999999999999,0.01,0.501624286718702
30% Corpus,5,0.9099999999999999,0.31,0.48807264016084184
